id,Cijena,Stanje,Lokacija,Adresa,Kvadrata,Broj soba,Sprat,Vrsta grijanja,Vrsta poda,OLX ID,Broj pregleda,Godina izgradnje,Balkon,Kvadratura balkona,Lift,Parking,Garaža,Klima,Novogradnja,Alarm
1060706,250.000,Korišteno,Sarajevo - Centar,Titova,100.0,4,2,Drva,Laminat,1060706,9369,Nije uneseno,Nije uneseno,Ni.e uneseno,Nije uneseno,Nije uneseno,Nije uneseno,Nije uneseno,Nije uneseno,Nije uneseno
2392296,Po dogovoru,Novo,Novo Sarajevo,Ljubljanska,120.0,4,1,Centralno (Plin),Nije uneseno,2392296,12488,Nije uneseno,Nije uneseno,Ni.e uneseno,Da,Da,Da,Da,Nije uneseno,Nije uneseno
3565322,390.000,Korišteno,Sarajevo - Centar,Trg Merhemića 14,130.0,4,4,Centralno (gradsko),Parket,3565322,11634,1980-1989,Da,15,Nije uneseno,Da,Nije uneseno,Da,Nije uneseno,Nije uneseno
6980233,140.000,Korišteno,"Sarajevo, Novi Grad",Gandijeva 6,83.0,4,4,Centralno (gradsko),Parket,6980233,11767,1990-1999,Da,10,Nije uneseno,Da,Nije uneseno,Da,Nije uneseno,Nije uneseno
9741490,220.000,Korišteno,Novo Sarajevo,Avde Smajlovića 19,105.0,4,3,Centralno (Plin),Nije uneseno,9741490,14182,Nije uneseno,Da,Ni.e uneseno,Nije uneseno,Da,Nije uneseno,Nije uneseno,Nije uneseno,Nije uneseno
9960511,Po dogovoru,Korišteno,Sarajevo - Centar,Nije uneseno,70.0,3,2,Ostalo,Nije uneseno,9960511,3065,Nije uneseno,Da,Ni.e uneseno,Nije uneseno,Da,Nije uneseno,Nije uneseno,Nije uneseno,Nije uneseno
10832282,119.068,Novo,Tuzla,"Brčanska Malta, 15. Maj",70.04,2,8,Centralno (gradsko),Nije uneseno,10832282,16011,Nije uneseno,Nije uneseno,Ni.e uneseno,Da,Da,Nije uneseno,Nije uneseno,True,Nije uneseno
11607772,23.000,Novo,Brčko,Brčko,33.0,1,2,Struja,Brodski,11607772,17827,Nije uneseno,Nije uneseno,Ni.e uneseno,Nije uneseno,Nije uneseno,Nije uneseno,Nije uneseno,True,Nije uneseno
12420477,Po dogovoru,Korišteno,Bijeljina,Nije uneseno,52.0,3,5,Centralno (Kotlovnica),Nije uneseno,12420477,10263,Nije uneseno,Nije uneseno,Ni.e uneseno,Nije uneseno,Da,Nije uneseno,Nije uneseno,Nije uneseno,Nije uneseno
12473817,Po dogovoru,Korišteno,Sarajevo - Centar,Nije uneseno,50.0,3,Prizemlje,Ostalo,Nije uneseno,12473817,5038,Nije uneseno,Nije uneseno,Ni.e uneseno,Nije uneseno,Da,Nije uneseno,Nije uneseno,Nije uneseno,Nije uneseno
12485322,Po dogovoru,Korišteno,"Sarajevo, Novi Grad",Nije uneseno,50.0,3,3,Centralno (gradsko),Nije uneseno,12485322,9244,Nije uneseno,Nije uneseno,Ni.e uneseno,Nije uneseno,Da,Nije uneseno,Nije uneseno,Nije uneseno,Nije uneseno
12877647,65.000,Korišteno,Sarajevo - Centar,Nije uneseno,32.0,1,1,Drva,Nije uneseno,12877647,47231,Nije uneseno,Da,5,Nije uneseno,Da,Nije uneseno,Nije uneseno,Nije uneseno,Nije uneseno
13160918,Po dogovoru,Korišteno,Novo Sarajevo,Nije uneseno,55.0,2,Visoko prizemlje,Centralno (Kotlovnica),Laminat,13160918,6988,1980-1989,Da,Ni.e uneseno,Da,Da,Nije uneseno,Nije uneseno,Nije uneseno,Nije uneseno
13295205,Po dogovoru,Korišteno,"Sarajevo, Novi Grad",Bosanska,70.0,2,10,Centralno (gradsko),Nije uneseno,13295205,8909,Nije uneseno,Nije uneseno,Ni.e uneseno,Da,Da,Nije uneseno,Nije uneseno,Nije uneseno,Nije uneseno
14289143,Po dogovoru,Korišteno,Stari Grad,Toromanova,74.0,3,3,Plin,Parket,14289143,7397,2000-2009,Da,Ni.e uneseno,Nije uneseno,Da,Nije uneseno,Da,Nije uneseno,Nije uneseno
