id,Cijena,Stanje,Lokacija,Adresa,Kvadrata,Broj soba,Sprat,Vrsta grijanja,Vrsta poda,OLX ID,Broj pregleda,Godina izgradnje,Balkon,Kvadratura balkona,Lift,Parking,Garaža,Klima,Novogradnja,Alarm,x,y,Point
1060706,250.000,Korišteno,Sarajevo - Centar,Titova,100.0,4,2,Drva,Laminat,1060706,9369,Nije uneseno,Nije uneseno,Ni.e uneseno,Nije uneseno,Nije uneseno,Nije uneseno,Nije uneseno,Nije uneseno,Nije uneseno,43.85749222063085,18.4116268157959,"(43.85749222063085, 18.4116268157959)"
2392296,Po dogovoru,Novo,Novo Sarajevo,Ljubljanska,120.0,4,1,Centralno (Plin),Nije uneseno,2392296,12488,Nije uneseno,Nije uneseno,Ni.e uneseno,Da,Da,Da,Da,Nije uneseno,Nije uneseno,43.85207948799024,18.405785226025387,"(43.85207948799024, 18.405785226025387)"
3565322,390.000,Korišteno,Sarajevo - Centar,Trg Merhemića 14,130.0,4,4,Centralno (gradsko),Parket,3565322,11634,1980-1989,Da,15,Nije uneseno,Da,Nije uneseno,Da,Nije uneseno,Nije uneseno,43.86571522555391,18.40959906578064,"(43.86571522555391, 18.40959906578064)"
6980233,140.000,Korišteno,"Sarajevo, Novi Grad",Gandijeva 6,83.0,4,4,Centralno (gradsko),Parket,6980233,11767,1990-1999,Da,10,Nije uneseno,Da,Nije uneseno,Da,Nije uneseno,Nije uneseno,43.828954319059,18.357585668564,"(43.828954319059, 18.357585668564)"
9741490,220.000,Korišteno,Novo Sarajevo,Avde Smajlovića 19,105.0,4,3,Centralno (Plin),Nije uneseno,9741490,14182,Nije uneseno,Da,Ni.e uneseno,Nije uneseno,Da,Nije uneseno,Nije uneseno,Nije uneseno,Nije uneseno,43.846884958217,18.397357463837,"(43.846884958217, 18.397357463837)"
9960511,Po dogovoru,Korišteno,Sarajevo - Centar,Nije uneseno,70.0,3,2,Ostalo,Nije uneseno,9960511,3065,Nije uneseno,Da,Ni.e uneseno,Nije uneseno,Da,Nije uneseno,Nije uneseno,Nije uneseno,Nije uneseno,43.8562586,18.413076300000057,"(43.8562586, 18.413076300000057)"
10832282,119.068,Novo,Tuzla,"Brčanska Malta, 15. Maj",70.04,2,8,Centralno (gradsko),Nije uneseno,10832282,16011,Nije uneseno,Nije uneseno,Ni.e uneseno,Da,Da,Nije uneseno,Nije uneseno,True,Nije uneseno,43.85817793063324,18.412219941139256,"(43.85817793063324, 18.412219941139256)"
11607772,23.000,Novo,Brčko,Brčko,33.0,1,2,Struja,Brodski,11607772,17827,Nije uneseno,Nije uneseno,Ni.e uneseno,Nije uneseno,Nije uneseno,Nije uneseno,Nije uneseno,True,Nije uneseno,43.85817793063324,18.412219941139256,"(43.85817793063324, 18.412219941139256)"
12420477,Po dogovoru,Korišteno,Bijeljina,Nije uneseno,52.0,3,5,Centralno (Kotlovnica),Nije uneseno,12420477,10263,Nije uneseno,Nije uneseno,Ni.e uneseno,Nije uneseno,Da,Nije uneseno,Nije uneseno,Nije uneseno,Nije uneseno,43.858177930633,18.41221994113903,"(43.858177930633, 18.41221994113903)"
12473817,Po dogovoru,Korišteno,Sarajevo - Centar,Nije uneseno,50.0,3,Prizemlje,Ostalo,Nije uneseno,12473817,5038,Nije uneseno,Nije uneseno,Ni.e uneseno,Nije uneseno,Da,Nije uneseno,Nije uneseno,Nije uneseno,Nije uneseno,43.862257524417934,18.41033935546875,"(43.862257524417934, 18.41033935546875)"
12485322,Po dogovoru,Korišteno,"Sarajevo, Novi Grad",Nije uneseno,50.0,3,3,Centralno (gradsko),Nije uneseno,12485322,9244,Nije uneseno,Nije uneseno,Ni.e uneseno,Nije uneseno,Da,Nije uneseno,Nije uneseno,Nije uneseno,Nije uneseno,43.86176244565012,18.42132568359375,"(43.86176244565012, 18.42132568359375)"
